distribution,round,n_players,mae,brier_10plus,logloss_10plus,base_rate_10plus,hitrate_10plus,brier_15plus,logloss_15plus,base_rate_15plus,hitrate_15plus,brier_20plus,logloss_20plus,base_rate_20plus,hitrate_20plus,brier_25plus,logloss_25plus,base_rate_25plus,hitrate_25plus,brier_30plus,logloss_30plus,base_rate_30plus,hitrate_30plus
poisson,1,184,3.5223,0.1316,0.3972,0.7717,0.825,0.1339,0.4188,0.4728,0.825,0.1001,0.3445,0.2391,0.8077,0.0795,0.4551,0.125,0.6,0.0284,0.0959,0.038,1.0
poisson,2,414,4.6539,0.1535,0.4921,0.8164,0.8416,0.213,0.6657,0.5072,0.7738,0.164,0.6406,0.2995,0.7869,0.0932,0.623,0.1401,0.75,0.0382,0.2925,0.0459,
poisson,3,368,4.308,0.1354,0.4265,0.7962,0.8364,0.1864,0.5575,0.5136,0.7605,0.1358,0.4782,0.2799,0.7568,0.0904,0.4302,0.1332,0.6087,0.041,0.3211,0.0489,0.0
poisson,4,322,4.2496,0.1371,0.4543,0.7919,0.8227,0.1799,0.5366,0.5155,0.7862,0.1339,0.4706,0.2919,0.791,0.083,0.4171,0.1304,0.6552,0.0341,0.2149,0.0528,0.6
poisson,5,368,3.9447,0.1409,0.4258,0.7745,0.8041,0.1583,0.4852,0.5109,0.7978,0.1315,0.4164,0.288,0.7403,0.0753,0.247,0.1332,0.6552,0.0364,0.1244,0.0435,0.4
poisson,6,414,3.7895,0.1255,0.412,0.7947,0.8249,0.1485,0.4555,0.5266,0.8199,0.1229,0.3926,0.3164,0.8085,0.0723,0.2366,0.1329,0.6316,0.0274,0.0878,0.0338,0.1667
poisson,7,414,3.849,0.1462,0.4597,0.7681,0.8057,0.1642,0.516,0.4976,0.7653,0.0981,0.3092,0.2512,0.7629,0.0681,0.2121,0.1232,0.6364,0.0279,0.1016,0.0362,0.6
poisson,8,414,3.9035,0.1323,0.4061,0.7754,0.8072,0.134,0.4099,0.5411,0.8404,0.111,0.3441,0.2923,0.7778,0.0749,0.2369,0.1329,0.6333,0.0353,0.1225,0.0459,0.4
poisson,9,413,3.8741,0.1352,0.4256,0.7627,0.8132,0.1648,0.4996,0.4915,0.7537,0.1132,0.3502,0.2591,0.7143,0.0718,0.2467,0.1259,0.7,0.0299,0.1182,0.0363,0.5
poisson,10,414,4.0374,0.13,0.4254,0.7778,0.8225,0.1603,0.5026,0.5411,0.8195,0.1244,0.4013,0.2512,0.6703,0.067,0.2165,0.1159,0.5938,0.0367,0.1211,0.0459,0.6667
poisson,11,414,3.8796,0.1347,0.4279,0.7971,0.8298,0.1579,0.47,0.5121,0.7882,0.1027,0.3288,0.285,0.8478,0.0615,0.2099,0.1304,0.8485,0.033,0.1048,0.0435,0.0
poisson,12,414,3.9303,0.1346,0.4249,0.7705,0.8191,0.1468,0.4518,0.5072,0.8141,0.1249,0.4102,0.2947,0.8462,0.0689,0.2679,0.1304,0.75,0.0385,0.1248,0.0507,0.3333
poisson,13,322,3.8564,0.1378,0.4382,0.7919,0.8133,0.1638,0.4926,0.4876,0.7547,0.1197,0.3748,0.264,0.75,0.0702,0.2345,0.118,0.7083,0.0283,0.1155,0.0404,0.8
poisson,14,368,4.0448,0.1509,0.4722,0.7582,0.7976,0.1463,0.476,0.481,0.7709,0.1228,0.3887,0.2663,0.7123,0.0789,0.2583,0.1141,0.5312,0.0321,0.1159,0.038,0.0
poisson,15,322,3.7876,0.134,0.4094,0.7888,0.8203,0.1554,0.4751,0.5062,0.8082,0.1069,0.3548,0.2826,0.7826,0.0703,0.3515,0.146,0.871,0.0294,0.1914,0.0497,1.0
poisson,16,322,3.9374,0.1442,0.5425,0.7733,0.8034,0.1503,0.4762,0.5062,0.8039,0.1222,0.387,0.264,0.7143,0.0676,0.2205,0.1366,0.7143,0.0448,0.1387,0.0621,0.5
poisson,17,321,3.9577,0.1434,0.4437,0.7632,0.8172,0.1382,0.4342,0.4798,0.7857,0.1117,0.3624,0.2399,0.7213,0.08,0.3647,0.1215,0.5455,0.0273,0.0919,0.0312,0.0
poisson,18,412,3.8281,0.1296,0.4191,0.7913,0.8333,0.156,0.507,0.5146,0.8254,0.1239,0.4159,0.2767,0.7349,0.0746,0.2385,0.1214,0.5,0.02,0.0758,0.0291,0.6667
poisson,19,414,3.7726,0.1518,0.4916,0.7391,0.7937,0.1335,0.4239,0.4541,0.7811,0.1137,0.3618,0.2681,0.7471,0.0588,0.193,0.1135,0.7097,0.036,0.1189,0.0411,0.0
poisson,20,414,3.6373,0.1247,0.3688,0.7802,0.8165,0.1401,0.4385,0.4734,0.7895,0.1034,0.3393,0.2754,0.8228,0.0788,0.252,0.1304,0.6207,0.0271,0.107,0.0362,0.4
