condition,round,n_players,goals_mae,scorer_auc,brier_1plus_goals,logloss_1plus_goals,brier_2plus_goals,logloss_2plus_goals,brier_3plus_goals,logloss_3plus_goals,disp_mae,brier_15plus_disp,logloss_15plus_disp,brier_20plus_disp,logloss_20plus_disp,brier_25plus_disp,logloss_25plus_disp,brier_30plus_disp,logloss_30plus_disp
single,1,184,0.6815097826086955,0.49773156899810966,0.2919,0.8478,0.1045,0.3697,0.0296,0.1538,3.5261413043478265,0.1378,0.432,0.1012,0.3368,0.0776,0.294,0.028,0.0918
single,2,414,0.7402785024154589,0.5378666130976296,0.2726,0.8062,0.1499,0.5154,0.0573,0.2509,4.666256038647344,0.2039,0.6089,0.1591,0.5558,0.0905,0.3485,0.0376,0.2827
single,3,368,0.772683152173913,0.4942382812499999,0.2914,0.8581,0.1436,0.479,0.0628,0.2725,4.314592391304347,0.1807,0.5326,0.1342,0.4428,0.0888,0.3285,0.0403,0.3131
single,4,322,0.7555642857142857,0.4724160631994733,0.2911,0.8721,0.1319,0.4632,0.053,0.2377,4.261055900621118,0.1752,0.518,0.1325,0.4368,0.0826,0.3147,0.0344,0.135
single,5,368,0.8047975543478261,0.46030183727034113,0.2914,0.8559,0.1426,0.4823,0.0594,0.2652,3.9282880434782608,0.157,0.4788,0.1282,0.3975,0.0732,0.2353,0.0359,0.1195
single,6,414,0.8096019323671496,0.5198863636363636,0.2861,0.8525,0.148,0.5227,0.0671,0.2799,3.812270531400966,0.1506,0.4613,0.1213,0.3826,0.0716,0.2313,0.0283,0.0923
single,7,414,0.751826811594203,0.5164379409171076,0.2662,0.786,0.1345,0.4744,0.0667,0.2881,3.8463043478260865,0.1641,0.5039,0.1,0.321,0.0676,0.2123,0.0287,0.1022
single,8,414,0.768924154589372,0.4785101010101011,0.2978,0.8886,0.1394,0.4914,0.0619,0.2752,3.9064734299516903,0.1367,0.4242,0.1101,0.3452,0.0739,0.2314,0.0352,0.1191
single,9,413,0.7329588377723971,0.47900346389555015,0.2942,0.8508,0.1214,0.406,0.0475,0.2079,3.8733171912832933,0.1628,0.4905,0.1123,0.3492,0.0717,0.2367,0.0303,0.114
single,10,414,0.7407777777777779,0.48285857334844134,0.2855,0.8473,0.1346,0.4674,0.0448,0.1986,4.021739130434782,0.1585,0.4885,0.1227,0.3875,0.0659,0.2122,0.0359,0.1163
single,11,414,0.7278748792270531,0.4938129496402877,0.2833,0.8529,0.1231,0.4473,0.046,0.2114,3.888381642512077,0.1571,0.4723,0.1044,0.3345,0.0622,0.2083,0.0326,0.1041
single,12,414,0.7600826086956523,0.49510685569191704,0.2785,0.8323,0.1327,0.469,0.0623,0.2666,3.9304830917874396,0.1483,0.4555,0.1229,0.3927,0.0691,0.2516,0.0375,0.12
single,13,322,0.7354183229813666,0.48641599652249506,0.2837,0.8592,0.1261,0.4507,0.051,0.2179,3.848354037267081,0.1622,0.4881,0.1182,0.3677,0.0692,0.2262,0.0288,0.1107
single,14,368,0.6427021739130435,0.4689503205128205,0.2722,0.8262,0.0927,0.348,0.0315,0.1567,4.042391304347826,0.1494,0.4734,0.1216,0.3806,0.0775,0.2477,0.0319,0.1119
single,15,322,0.7113090062111802,0.5387733840648639,0.2608,0.7791,0.1129,0.4141,0.0555,0.2577,3.7890683229813664,0.1546,0.4702,0.1072,0.3491,0.0705,0.3393,0.0293,0.1936
single,16,322,0.7561888198757765,0.4576396435557488,0.2957,0.8707,0.1431,0.5171,0.0472,0.211,3.9325155279503106,0.1504,0.4688,0.1199,0.3727,0.0668,0.2162,0.0436,0.1336
single,17,321,0.759233644859813,0.49508690715346315,0.2805,0.8424,0.1264,0.4498,0.0563,0.2401,3.965451713395638,0.1417,0.4427,0.1124,0.3592,0.0784,0.2689,0.0274,0.0915
single,18,412,0.7564441747572815,0.51148761391349,0.2829,0.8354,0.1349,0.4863,0.0616,0.2625,3.836043689320388,0.156,0.4923,0.1221,0.3943,0.0738,0.2316,0.021,0.0784
single,19,414,0.71812922705314,0.5182928448161422,0.2682,0.8036,0.1169,0.4207,0.0553,0.2465,3.782657004830918,0.1378,0.4351,0.113,0.3556,0.0593,0.1948,0.0357,0.1162
single,20,414,0.7159898550724636,0.4872978583916084,0.2746,0.8407,0.1287,0.4606,0.044,0.1971,3.6424396135265695,0.1426,0.4443,0.1027,0.333,0.0769,0.2393,0.0273,0.1037
single,21,414,0.7942893719806765,0.49004530916844347,0.2857,0.8635,0.1412,0.5002,0.0695,0.2929,3.848864734299517,0.1465,0.4584,0.107,0.3341,0.0828,0.2704,0.0341,0.12
single,22,414,0.755772463768116,0.4787713219616204,0.2879,0.8639,0.1244,0.4548,0.0586,0.2599,3.796135265700483,0.138,0.4327,0.0989,0.3186,0.0617,0.2011,0.0356,0.1082
single,23,413,0.7853309927360775,0.44705384534010373,0.3004,0.9205,0.1336,0.4784,0.0638,0.2785,3.639975786924939,0.1546,0.4758,0.109,0.3472,0.0718,0.2205,0.025,0.0817
single,24,414,0.7817971014492753,0.48720129496008124,0.2805,0.8241,0.1448,0.5161,0.06,0.2712,3.7653381642512076,0.1436,0.4413,0.1107,0.3469,0.0636,0.1987,0.0273,0.0933
ensemble,1,184,0.6742619565217393,0.4976685570258349,0.2916,0.8454,0.1035,0.3686,0.0288,0.1534,3.51179347826087,0.1375,0.4311,0.1009,0.3374,0.0774,0.2989,0.0277,0.0904
ensemble,2,414,0.7403886473429951,0.5377661711530735,0.2721,0.8086,0.1498,0.5149,0.0567,0.248,4.650676328502415,0.2031,0.6055,0.1589,0.5514,0.0902,0.3454,0.0373,0.2823
ensemble,3,368,0.7735576086956523,0.4943033854166667,0.2924,0.8595,0.1432,0.4787,0.0624,0.2706,4.307092391304348,0.1806,0.5317,0.1334,0.439,0.0892,0.3272,0.0405,0.3139
ensemble,4,322,0.7527031055900621,0.4723721746763222,0.2899,0.8711,0.1309,0.4614,0.0526,0.2373,4.25888198757764,0.174,0.5154,0.1326,0.4368,0.0831,0.3164,0.0346,0.1368
ensemble,5,368,0.8012203804347827,0.460319104848736,0.2918,0.8568,0.1419,0.4804,0.0588,0.263,3.9362771739130435,0.1569,0.4785,0.1284,0.3983,0.0738,0.2368,0.0362,0.1197
ensemble,6,414,0.8085608695652173,0.52,0.2862,0.8558,0.1485,0.5255,0.0677,0.2798,3.7876086956521737,0.1498,0.4595,0.1205,0.3803,0.0712,0.2307,0.0279,0.0915
ensemble,7,414,0.7534268115942029,0.5164241622574957,0.2666,0.7879,0.1355,0.4774,0.0671,0.2903,3.858792270531401,0.1641,0.5036,0.1002,0.3216,0.0677,0.2122,0.0289,0.103
ensemble,8,414,0.775734541062802,0.47856060606060613,0.2992,0.8927,0.1411,0.4952,0.0624,0.2759,3.8989855072463766,0.1362,0.4229,0.11,0.345,0.0736,0.2308,0.0349,0.1182
ensemble,9,413,0.7338307506053269,0.47896349586997067,0.2949,0.8535,0.1218,0.4074,0.0475,0.209,3.8653995157384986,0.1627,0.4905,0.1127,0.3504,0.0716,0.2374,0.0302,0.1137
ensemble,10,414,0.7456210144927536,0.4828585733484413,0.2872,0.8528,0.1362,0.4736,0.0454,0.2026,4.0199033816425125,0.1588,0.4888,0.1221,0.3856,0.0658,0.2114,0.0359,0.1159
ensemble,11,414,0.7260495169082126,0.4937867887508175,0.2831,0.853,0.1227,0.4459,0.0459,0.2122,3.868647342995169,0.1565,0.47,0.1037,0.3322,0.0613,0.2067,0.0323,0.1027
ensemble,12,414,0.7601799516908212,0.4950671815488785,0.2788,0.8325,0.133,0.4711,0.0623,0.2669,3.931207729468599,0.1488,0.4563,0.1228,0.3925,0.069,0.2536,0.0377,0.1201
ensemble,13,322,0.7328701863354038,0.48648119973918713,0.2834,0.8627,0.1256,0.4503,0.051,0.2194,3.8496583850931674,0.1627,0.4895,0.1183,0.368,0.0695,0.2263,0.029,0.1113
ensemble,14,368,0.6384774456521739,0.4689503205128205,0.2727,0.829,0.0921,0.3494,0.031,0.1579,4.049239130434783,0.1497,0.4753,0.1212,0.3802,0.0779,0.2482,0.0323,0.1131
ensemble,15,322,0.7091369565217391,0.538977216107261,0.2597,0.7773,0.1129,0.4152,0.0552,0.2579,3.779316770186335,0.1539,0.4691,0.1071,0.3489,0.0705,0.34,0.029,0.193
ensemble,16,322,0.7568251552795031,0.45777004998913273,0.2951,0.8691,0.1439,0.517,0.0471,0.209,3.935248447204969,0.1507,0.4695,0.1203,0.375,0.0669,0.2168,0.0433,0.1329
ensemble,17,321,0.7535919003115265,0.49495589134422213,0.2796,0.8386,0.1258,0.4486,0.0559,0.239,3.9576012461059187,0.1413,0.4422,0.1126,0.3593,0.078,0.2688,0.0275,0.092
ensemble,18,412,0.7594444174757283,0.5114747785906816,0.2829,0.8339,0.1361,0.4869,0.0623,0.2638,3.8316747572815535,0.1561,0.4922,0.1219,0.3937,0.0736,0.2311,0.0209,0.0782
ensemble,19,414,0.7158420289855073,0.5182662949688039,0.2692,0.8064,0.1172,0.4231,0.055,0.2472,3.766207729468599,0.1375,0.4339,0.1124,0.3544,0.0591,0.194,0.0356,0.1155
ensemble,20,414,0.7164908212560387,0.487270541958042,0.2741,0.837,0.1279,0.4588,0.0439,0.1962,3.6272463768115943,0.1421,0.4431,0.1023,0.332,0.0762,0.2374,0.0271,0.1029
ensemble,21,414,0.791603381642512,0.4900986140724947,0.2856,0.8594,0.1401,0.4969,0.0689,0.2919,3.837826086956522,0.1458,0.4569,0.1064,0.3328,0.0826,0.2701,0.0341,0.1204
ensemble,22,414,0.7570763285024155,0.47875799573560773,0.2876,0.8615,0.1246,0.455,0.0594,0.2626,3.7961594202898548,0.1379,0.4326,0.0985,0.318,0.0618,0.2016,0.0355,0.1082
ensemble,23,413,0.7854295399515737,0.44702739870940444,0.2998,0.9125,0.134,0.4786,0.0648,0.2788,3.628135593220339,0.1542,0.4746,0.1085,0.3456,0.0714,0.2198,0.025,0.0817
ensemble,24,414,0.7822850241545893,0.4871601415676699,0.281,0.8252,0.1454,0.5175,0.0598,0.2703,3.7618115942028982,0.1428,0.4391,0.1101,0.3456,0.0631,0.1976,0.0271,0.0921
