mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,I Heeney,18,69.2,4,9,2,619,12,4,1,79
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,N Blakey,18,69.2,0,0,3,529,4,6,0,78
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,C Warner,19,73.1,1,1,7,588,8,2,0,81
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,B Grundy,10,43.5,2,7,6,254,7,5,0,78
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,J Rowbottom,12,57.1,1,5,7,343,4,5,2,79
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,T Papley,13,65.0,1,2,4,404,9,2,2,81
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,J McInerney,14,70.0,0,1,3,129,3,2,0,86
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,E Gulden,11,55.0,0,2,8,442,4,3,0,89
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,D Rampe,15,78.9,0,0,3,519,2,7,0,87
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,M Roberts,18,94.7,0,0,2,260,1,3,0,84
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,H Cunningham,14,77.8,0,1,3,253,0,5,0,83
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,O Florent,12,66.7,0,3,6,374,1,5,0,91
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,J Jordon,14,77.8,0,2,3,158,3,2,2,71
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,B Campbell,12,75.0,0,1,4,378,2,4,0,68
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,J Lloyd,11,84.6,0,0,3,142,1,4,0,83
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,W Hayward,6,60.0,0,0,3,195,3,0,1,83
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,R Fox,5,55.6,0,1,5,90,2,1,4,91
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,T McCartin,7,77.8,0,0,1,91,1,6,0,97
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,L McDonald,4,50.0,0,0,2,189,5,1,0,83
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,L Melican,5,100.0,0,0,0,47,2,5,0,80
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,H McLean,3,60.0,0,0,1,150,4,2,0,76
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,S Wicks,5,100.0,0,1,0,47,3,1,0,30
11174,2024,R0,"Thursday, 7th March 2024",SCG,Sydney,Melbourne,J Amartey,0,0.0,0,0,2,78,1,0,1,43
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J Viney,21,70.0,3,4,9,625,7,3,4,79
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,C Oliver,21,70.0,2,4,6,417,5,2,1,82
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,C Salem,15,55.6,1,4,6,558,1,4,0,80
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,C Petracca,18,69.2,2,1,4,326,8,5,2,84
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,S May,18,85.7,0,0,2,347,1,9,0,90
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J McVee,16,80.0,0,3,4,390,3,4,0,78
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,E Langdon,10,52.6,0,0,7,362,2,5,0,90
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,T Rivers,11,64.7,1,0,4,304,1,5,0,80
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,B Howes,14,82.4,0,0,4,224,0,12,0,74
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,A N-Bullen,10,66.7,1,2,3,139,1,2,3,83
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,M Gawn,9,64.3,0,2,2,38,3,3,1,82
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J Bowey,11,78.6,0,0,2,251,0,1,0,48
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,T Sparrow,12,92.3,1,2,2,103,3,4,0,80
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,C Windsor,8,61.5,1,0,1,117,4,3,0,81
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,A Tomlinson,9,75.0,0,0,2,267,1,8,0,100
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J Lever,10,83.3,0,0,3,318,2,4,0,100
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,C Spargo,9,75.0,0,0,4,134,3,0,2,77
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,K Chandler,9,81.8,0,0,2,145,2,2,3,82
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J Van Rooyen,9,90.0,0,0,2,110,1,1,2,83
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,B Laurie,5,62.5,0,0,2,77,1,0,0,42
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,B Fritsch,5,83.3,0,0,1,183,5,0,3,92
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J Schache,1,25.0,0,0,1,62,2,1,2,76
11174,2024,R0,"Thursday, 7th March 2024",SCG,Melbourne,Sydney,J Billings,0,0.0,0,0,2,37,1,0,1,38
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,L Neale,19,76.0,2,3,2,211,6,5,0,79
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,J Dunkley,14,66.7,1,1,4,293,4,8,4,82
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,D Wilmot,14,66.7,0,2,6,522,3,6,0,82
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,J Lyons,15,78.9,1,0,2,258,6,2,0,70
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,D Zorko,16,84.2,0,0,2,292,7,3,1,76
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,H McCluggage,15,83.3,1,1,3,362,4,2,0,83
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,J Berry,7,41.2,0,1,6,294,4,6,0,77
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,C Ah Chee,12,75.0,1,1,6,331,3,2,0,78
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,R Lester,12,80.0,0,1,2,255,2,6,0,87
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,H Andrews,13,86.7,0,0,3,280,2,9,0,96
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,C Rayner,11,73.3,2,3,4,233,5,1,1,87
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,Z Bailey,13,86.7,2,2,3,319,8,3,2,77
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,J Daniher,7,50.0,0,1,3,433,8,0,0,95
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,L McCarthy,7,53.8,0,1,2,300,10,0,1,81
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,O McInerney,5,38.5,4,4,4,312,3,2,1,79
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,D Gardiner,11,100.0,0,0,4,140,8,2,1,76
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,C Cameron,4,40.0,1,0,5,182,5,0,0,89
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,J Fletcher,9,90.0,0,0,1,159,2,2,1,81
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,E Hipwood,4,44.4,0,0,5,255,4,2,1,83
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,B Starcevich,7,87.5,0,1,2,153,1,3,0,78
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,K Coleman,7,87.5,0,0,0,141,4,2,0,44
11175,2024,R0,"Friday, 8th March 2024",Gabba,Brisbane,Carlton,K Lohmann,5,83.3,0,0,0,134,3,0,0,36
